Empresa;Vendas;Rentabilidade;Liquidezgeral;Endividamentogeral
"PETROBRAS";47855158;21,938;1,0756;52,484
"PETROBRAS DISTRIBUIDORA";13531695;10,528;1,2175;54,189
"TELEMAR";7696136;7,836;0,4218;55,977
"TELEFONICA";7256514;14,137;0,6093;38,128
"CBB/AMBEV";7055807;10,649;0,6162;66,055
"IPIRANGA";6405875;16,643;1,2257;51,256
"VALE DO RIO DOCE";5543249;17,482;0,3515;32,145
"BUNGE";5403555;18,879;0,8971;71,653
"CARGILL";5095290;20,971;0,7832;86,562
"BRASIL TELECOM";4951187;5,577;0,6144;57,644
"unknown";4361683;6,26;0,7355;53,565
"FIAT";4145717;-39,121;0,9754;68,299
"CSN";3993615;25,66;0,4115;70,789
"ELETROPAULO METROPOLITANA";3943479;13,402;0,5782;80,201
"EMBRAER";3681026;17,467;1,2055;66,259
"CEMIG";3642252;16,942;0,7651;54,791
"USIMINAS";3466890;35,952;0,8625;46,004
"SOUZA CRUZ";2877280;25,59;0,9593;50,37
"COPESUL";2808485;17,778;0,692;45,635
"CORREIOS";2771797;14,973;1,0011;54,404
"SADIA";2710150;15,007;0,9791;63,992
"REFAP";2675925;15,401;0,4027;67,32
"COSIPA";2590105;47,897;0,4671;68,076
"BUNGE FERTILIZANTES";2523068;22,594;0,9301;63,966
"unknown";2409417;20,717;0,716;76,92
"LIGHT - SE SA";2317531;35,732;0,3921;92,777
"VIVO - SP";2266802;9,16;0,8689;50,29
"CST";2172439;15,644;0,4754;25,818
"BASF";2118927;25,814;1,4322;53,798
"CPFL - PAULISTA";2082984;11,193;0,7276;71,114
"unknown";1973497;20,481;0,7912;60,337
"FURNAS";1959171;5,934;0,6255;31,108
"unknown";1934643;15,109;1,0767;62,929
"SABESP";1834882;2,422;0,1915;40,771
"COAMO";1572882;19,215;1,6714;49,828
"CHESF";1542479;10,822;0,253;40,36
"unknown";1529159;27,811;0,6033;54,514
"ACESITA";1511887;35,017;0,829;58,692
"BELGO SIDERURGIA";1455592;52,475;0,6101;71,656
"MAKRO";1358939;15,633;0,8387;63,736
"unknown";1346799;-7,818;1,126;44,454
"PIRELLI PNEUS";1322626;20,293;0,9784;61,602
"DOW BRASIL";1319728;1,873;0,5129;61,304
"CONSTRUTORA ODEBRECHT";1306485;6,278;2,0021;46,813
"KLABIN";1293548;16,041;0,9328;50,377
"ELETRONORTE";1261788;-5,638;0,2174;50,865
"PONTO FRIO";1233297;-1,377;1,0896;58,943
"IPIRANGA DISTRIBUIDORA";1183548;11,145;1,7914;28,63
"OI";1179207;-12,164;0,9043;38,462
"COELBA";1157236;13,92;0,8125;57,331
