Classe,Faturamento,Loja,Func
1,"62,220,000,000 ",692,"88,551"
1,"61,543,000,000 ",881,"110,000"
1,"29,848,000,000 ","1,070","52,168"
1,"24,500,000,000 ",550,"52,019"
1,"24,377,100,000 ","1,113","26,370"
1,"22,179,700,000 ","1,700","18,775"
1,"18,396,046,000 ","2,073","41,450"
1,"14,124,000,000 ","3,974","13,000"
1,"11,774,249,000 ",590,"24,162"
1,"10,700,000,000 ",151,"22,000"
1,"9,735,055,000 ","1,348","25,000"
1,"9,582,226,000 ",321,"26,492"
1,"8,907,766,000 ",490,"6,300"
1,"8,595,612,119 ",202,"24,896"
1,"7,518,051,346 ",61,"13,760"
1,"7,337,691,000 ",106,"18,444"
1,"7,296,216,870 ",67,"9,900"
1,"7,149,520,560 ","1,023","37,500"
1,"7,000,000,000 ","1,100","8,000"
1,"6,994,489,574 ",203,"19,500"
1,"6,967,969,000 ",287,"15,000"
1,"6,759,630,000 ","1,122","18,000"
1,"6,600,000,000 ",43,"9,495"
1,"5,760,517,000 ",278,"11,700"
1,"5,490,000,000 ",36,"11,378"
1,"5,314,020,000 ",378,"12,000"
1,"4,600,000,000 ",275,"8,530"
1,"4,306,547,000 ",566,"18,600"
1,"4,300,000,000 ",101,"5,200"
1,"4,175,302,387 ",148,"14,700"
1,"3,521,732,223 ",37,"6,098"
1,"3,500,000,000 ",38,"4,057"
1,"3,500,000,000 ","2,322","12,000"
1,"3,443,829,000 ",44,"10,000"
1,"3,345,873,746 ",49,"8,800"
1,"3,200,000,000 ",227,"3,000"
1,"3,193,065,000 ",210,"6,000"
1,"3,183,808,901 ",24,"13,786"
1,"3,069,800,000 ",673,"15,000"
1,"3,026,900,000 ",354,"14,300"
1,"3,000,000,000 ",490,"7,031"
1,"3,000,000,000 ",37,"4,000"
1,"2,970,000,000 ",549,"18,000"
1,"2,900,000,000 ",46,"3,100"
1,"2,873,038,000 ",444,"6,913"
1,"2,818,118,392 ",224,"5,400"
1,"2,788,488,912 ",30,"6,809"
1,"2,627,856,213 ",31,"4,725"
1,"2,589,701,000 ",50,"6,995"
1,"2,564,750,660 ",56,"8,359"
1,"2,547,687,149 ",55,"7,685"
1,"2,398,696,686 ",32,"6,104"
1,"2,342,790,292 ",503,"5,856"
1,"2,300,000,000 ",250,"8,000"
1,"2,174,000,000 ",416,"6,000"
1,"2,100,000,000 ",39,"4,100"
1,"2,090,939,669 ",17,"5,844"
1,"2,083,909,000 ",29,"3,603"
1,"2,079,688,000 ",17,"4,249"
0,"2,063,929,000 ",752,"2,465"
0,"2,009,067,000 ",28,"6,033"
0,"1,980,616,391 ","2,377","8,369"
0,"1,850,000,000 ",59,"3,490"
0,"1,844,929,000 ",239,"3,800"
0,"1,817,915,034 ",21,"2,941"
0,"1,815,600,000 ",721,"5,353"
0,"1,710,438,194 ",130,"2,700"
0,"1,700,000,000 ",346,"5,600"
0,"1,654,942,832 ",46,"5,585"
0,"1,640,000,000 ",70,"2,849"
0,"1,600,000,000 ",18,"2,270"
0,"1,560,000,000 ","1,205","18,000"
0,"1,530,000,000 ",100,"3,180"
0,"1,521,964,000 ",250,"5,000"
0,"1,500,000,000 ",280,"5,000"
0,"1,499,328,167 ",24,"3,605"
0,"1,420,562,000 ",255,"5,000"
0,"1,400,000,000 ",53,"3,500"
0,"1,390,366,047 ",11,"3,970"
0,"1,356,030,426 ",12,"3,318"
0,"1,337,410,000 ",49,"4,530"
0,"1,300,000,000 ",180,"3,500"
0,"1,277,264,801 ",30,"3,663"
0,"1,256,877,362 ",30,"3,537"
0,"1,250,000,000 ",48,"2,050"
0,"1,232,288,000 ",415,"4,350"
0,"1,206,038,921 ",28,"3,570"
0,"1,200,000,000 ",196,"5,600"
0,"1,168,125,906 ",20,"3,069"
0,"1,164,234,000 ",105,"2,750"
0,"1,158,059,455 ",25,"3,350"
0,"1,125,088,516 ",17,"3,624"
0,"1,100,000,000 ",30,"2,220"
0,"1,093,390,647 ",17,"3,201"
0,"1,076,758,696 ",28,"3,698"
0,"1,068,575,344 ",16,"2,796"
0,"1,061,531,794 ",4,"3,336"
0,"1,048,446,846 ",12,"2,600"
0,"1,043,900,204 ",36,"3,490"
0,"1,025,000,000 ",850,"1,340"
0,"1,020,445,938 ",27,"3,457"
0,"1,015,793,619 ",18,"1,931"
0,"1,000,000,000 ",250,"3,000"
0,"1,000,000,000 ",79,"3,100"
0,"974,613,000 ",135,"3,500"
0,"961,633,000 ",186,"10,000"
0,"891,106,000 ",15,"4,647"
0,"860,000,000 ",97,"4,000"
0,"815,000,000 ",200,"3,090"
0,"813,132,234 ",14,"1,762"
0,"810,000,000 ",126,"2,400"
0,"790,000,000 ","1,000","5,590"
0,"779,283,651 ",25,"2,207"
0,"775,816,093 ",12,"2,235"
0,"754,400,000 ",400,"8,000"
0,"743,101,705 ",30,"2,464"
0,"707,154,000 ",351,"2,000"
0,"697,162,000 ",73,"1,832"
0,"674,436,168 ",13,"2,100"
0,"622,110,000 ",22,"2,467"
