Nome;Motor;Ano;Quilometragem;Zero_km;Acessórios;Valor
Jetta Variant;Motor 4.0 Turbo;2003;44410;False;['Rodas de liga', 'Travas elétricas', 'Piloto automático', 'Bancos de couro', 'Ar condicionado', 'Sensor de estacionamento', 'Sensor crepuscular', 'Sensor de chuva'];88078.64
Passat;Motor Diesel;1991;5712;False;['Central multimídia', 'Teto panorâmico', 'Freios ABS', '4 X 4', 'Painel digital', 'Piloto automático', 'Bancos de couro', 'Câmera de estacionamento'];106161.94
Crossfox;Motor Diesel V8;1990;37123;False;['Piloto automático', 'Controle de estabilidade', 'Sensor crepuscular', 'Freios ABS', 'Câmbio automático', 'Bancos de couro', 'Central multimídia', 'Vidros elétricos'];72832.16
DS5;Motor 2.4 Turbo;2019;;True;['Travas elétricas', '4 X 4', 'Vidros elétricos', 'Sensor crepuscular', 'Sensor de chuva', 'Câmera de estacionamento', 'Ar condicionado', 'Rodas de liga'];124549.07
Aston Martin DB4;Motor 2.4 Turbo;2006;25757;False;['Rodas de liga', '4 X 4', 'Central multimídia', 'Ar condicionado', 'Controle de estabilidade', 'Câmbio automático', 'Sensor de estacionamento', 'Piloto automático'];92612.1
Palio Weekend;Motor 1.8 16v;2012;10728;False;['Sensor de estacionamento', 'Teto panorâmico', 'Sensor crepuscular', 'Painel digital', 'Ar condicionado', 'Rodas de liga', 'Controle de estabilidade', 'Bancos de couro'];97497.73
A5;Motor 4.0 Turbo;2019;;True;['Câmbio automático', 'Câmera de estacionamento', 'Freios ABS', 'Controle de tração', 'Central multimídia', 'Travas elétricas', 'Sensor crepuscular', 'Rodas de liga'];56445.2
Série 3 Cabrio;Motor 1.0 8v;2009;77599;False;['Controle de estabilidade', 'Sensor crepuscular', 'Controle de tração', 'Teto panorâmico', 'Travas elétricas', 'Piloto automático', 'Painel digital', 'Câmera de estacionamento'];112310.44
Dodge Jorney;Motor 3.0 32v;2010;99197;False;['Vidros elétricos', 'Piloto automático', 'Teto panorâmico', 'Ar condicionado', 'Bancos de couro', 'Câmbio automático', 'Rodas de liga', 'Travas elétricas'];120716.27
Carens;Motor 5.0 V8 Bi-Turbo;2011;37978;False;['Ar condicionado', 'Painel digital', 'Central multimídia', 'Sensor crepuscular', 'Câmbio automático', 'Rodas de liga', 'Controle de tração', 'Câmera de estacionamento'];76566.49
