Ano_1998,Ano_1999,Ano_2000,Ano_2001,Ano_2002,Ano_2003,Ano_2004,Ano_2005,Ano_2006,Ano_2007,Ano_2008,Ano_2009,Ano_2010,Ano_2011,Ano_2012,Ano_2013,Ano_2014,Ano_2015,Ano_2016,Ano_2017,Ano_2018,Ano_2019
0.313,7.85,5.29,4.18,1.43,1.85,2.07,-1.95,5,8.25,9.63,7.57,9.34,24.7,24.8,25.3,19.2,40.7,47.7,53.9,80,99.7
5.6,5.93,9.71,8.81,8.79,10.6,13.1,15.9,20.8,28.3,30.2,32,45.3,74.2,16.3,11.3,-26.8,15.8,17.8,25.5,-9.53,24.6
6.65,5.05,5.07,1.44,2.64,5,9.96,13.8,18.2,25.1,23.7,31.1,32.2,29.8,24,21.4,21.4,21.3,38.4,46,42.7,46.4
1.72,2.39,3.65,4.24,3.39,4.12,3.23,3.97,5.82,10.3,11,7.17,14.9,9.59,9.7,7.37,6.03,8.25,10.3,9.83,-40.3,2.91
14.4,4.43,-19.6,-26.5,0.382,0.659,-23.2,-3.53,1.97,0.281,19.4,25.7,29.2,31.9,35.4,36.1,33.2,29.4,21.1,36.4,40.3,36.1
3.21,1.2,-0.753,-19.6,4.88,5.71,4.79,4.97,5.44,13.4,22.5,29,37.9,47.2,52.5,177,183.6,194.9,168.8,165.6,164.5,148.9
54.8,71.9,56.4,25,53.9,67.2,85.6,123.5,182.6,102,80.6,80,136.8,141.6,105.9,120.8,127.9,99.8,83.7,114.1,113.6,114.6
6.68,10.2,15.4,5.51,4.14,5.78,3.21,3.75,-41.9,0.614,5.46,6.46,7.46,29.8,24.8,-19.2,-45.4,9.07,37.7,-116,-341,-27.1
4.07,2.58,2.46,4.08,3.71,2.25,1.73,1.28,-0.8,0.01,-7.35,11.1,12.3,12.6,6.66,6.32,7.89,23.1,26.1,37.4,33.1,26.3
3.9,3.08,4.16,4.85,5.1,1.5,4.99,7.72,8.65,3.43,7.71,8.91,13.1,15,4.59,6.55,15.9,5.76,3.29,7.19,-21.3,6.21
4.29,3.79,0.867,0.684,2.58,2.98,4.71,2.43,2.73,4.62,5.07,5.14,8.01,5.81,0.164,-0.803,0.105,2.46,0.147,0.683,4.69,1.73
63.7,79.8,71.6,50.9,82.4,175.3,218,152.5,113.2,108.4,69.1,61.1,41.4,55.4,51.8,44.6,36.9,39.2,63.7,71.1,51.7,61.3
66.9,-31.3,-35.3,-21.3,-205.6,41.7,62.7,71,101.4,138.8,232,314.1,197.5,222.7,373.4,354.7,164.5,32.7,-36.2,3.54,96.4,127.9
