,Marca,Modelo,Linha,Sim,Tizen,Amazon Prime Video,Globoplay,Netflix,Youtube,Acesso à Internet,Assistente Pessoal,Controle com Comando de Voz,Grava Programação,HDR,Conversor Digital Integrado e Interativo (DTVi),LED,Tamanho da Tela,4K,Frequência Nativa,Bluetooth,Tecnologia DLNA,Wi-Fi integrado,Espelhamento de Tela,HDMI,LAN (Rede),USB,3 HDMI,Altura com base,Altura sem base,Largura,Profundidade com base,Profundidade sem base,price (avg),price (med),WebOS,Conversor Digital Integrado,Facebook,OLED,Design da Tela,4 HDMI,Android,Controle por Smartphone,Controle com Função Mouse,Função Estádio,Nano Cristal,IPS (In Plane Switching),2 HDMI,Picture in Picture(PiP),QLED,Frequência Máxima,ConnectShare,Slim,Saphi,Disney Plus,Tela Plana,Neo QLED,Roku,Sistema Operacional,One Connect,PC,VA (Vertically Aligned),Suporte para Controle por Movimento,HDMI 2.1,HDMI 2.0,Ultra Slim,Linux,Cartão de Memória,Vidaa,Fone de Ouvido P2,NFC,Full HD,HD,Suporte para Wi-Fi,8K,LCD,Super Slim,Spotify,Potência (RMS),Smart TV
0,Samsung,UN50AU7700GXZD,Crystal,True,True,True,True,True,True,True,True,True,True,True,True,True,50.0,True,60.0,True,True,True,True,True,True,True,True,71.9,64.4,111.6,25.0,5.9,3060.9066666666668,2799.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Samsung,UN70AU7700GXZD,Crystal,True,True,True,True,True,True,True,True,True,True,True,True,True,70.0,True,60.0,True,True,True,True,True,True,True,True,98.87,89.93,155.62,34.11,6.05,4931.443333333334,4676.995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Samsung,UN50AU7700GXZD,Crystal,True,True,True,True,True,True,True,True,True,True,True,True,True,50.0,True,60.0,True,True,True,True,True,True,True,True,71.9,64.4,111.6,25.0,5.9,3060.9066666666668,2799.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Samsung,UN70AU7700GXZD,Crystal,True,True,True,True,True,True,True,True,True,True,True,True,True,70.0,True,60.0,True,True,True,True,True,True,True,True,98.87,89.93,155.62,34.11,6.05,4931.443333333334,4676.995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Samsung,UN55AU7700GXZD,Crystal,True,True,True,True,True,True,True,True,True,False,True,True,True,55.0,True,60.0,True,True,True,True,True,True,True,True,78.33,70.72,123.05,25.02,5.99,3714.115,3129.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Samsung,UN65AU7700GXZD,Crystal,True,True,True,True,True,True,True,True,True,True,True,True,True,65.0,True,60.0,True,True,True,True,True,True,True,True,90.66,83.03,144.94,28.21,5.99,4285.826666666667,3884.495,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,LG,43UN731C,ThinQ AI,True,False,True,False,True,True,True,True,True,False,True,False,True,43.0,True,60.0,True,False,True,True,True,True,True,True,False,False,97.2,False,False,2363.923333333333,2231.955,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,LG,OLED55C1PSA,ThinQ AI,True,False,True,True,True,True,True,True,False,False,True,False,False,55.0,True,120.0,False,False,True,True,True,False,True,False,73.8,70.6,122.8,25.1,4.66,5597.87,5016.995,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Samsung,UN43AU7700GXZD,Crystal,True,True,True,True,True,True,True,True,True,True,True,True,True,43.0,True,60.0,True,True,True,True,True,True,True,True,62.78,55.89,96.39,19.25,5.96,2911.3766666666666,2595.875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,LG,50UN731C,ThinQ AI,True,False,False,False,True,True,True,True,False,False,True,False,True,50.0,True,60.0,True,False,True,False,True,True,True,True,72.2,66.3,113.0,23.1,8.63,3191.7366666666667,2713.34,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,TCL,55P715,False,True,False,True,True,True,True,True,True,False,True,True,False,True,55.0,True,60.0,True,False,True,True,True,True,True,True,76.7,71.7,122.7,35.1,7.8,3069.1358333333333,2798.995,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,TCL,50P615,Android TV,True,False,False,False,True,True,True,True,True,False,True,False,True,50.0,True,60.0,True,False,True,False,True,True,True,True,77.0,False,127.0,12.4,False,2707.08,2374.05,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,LG,50NANO75SPA,ThinQ AI,True,False,False,False,False,False,True,True,True,False,True,False,False,50.0,True,60.0,True,False,True,True,True,False,True,True,70.8,65.1,112.1,23.2,5.77,3287.2991666666667,2825.77,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,LG,43UP7500PSF,ThinQ AI,True,False,True,False,True,True,True,True,False,False,True,False,True,43.0,True,60.0,True,False,True,True,True,False,True,False,61.1,57.2,97.3,18.7,8.5,2504.3225,2336.995,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,LG,50NANO75SPA,ThinQ AI,True,False,False,False,False,False,True,True,True,False,True,False,False,50.0,True,60.0,True,False,True,True,True,False,True,True,70.8,65.1,112.1,23.2,5.77,3287.2991666666667,2825.77,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
